date,unix time 2020,ap wifi name,rssi,filed1,filed2
25.07.2020 12:28:15,17843295,apzuzu6_EXT2,-39,3,4
25.07.2020 12:28:15,17843295,apzuzu6_EXT,-71,3,4
25.07.2020 12:28:15,17843295,apzuzu6,-74,3,4
25.07.2020 12:28:15,17843295,UPC Wi-Free,-87,5,1
25.07.2020 12:28:15,17843295,UPC578B7A3,-89,4,1
25.07.2020 12:28:15,17843295,UPC Wi-Free,-93,5,11
25.07.2020 12:28:15,17843295,UPC Wi-Free,-94,5,1
25.07.2020 12:28:15,17843295,UPCF2C6A3A,-95,4,11
25.07.2020 12:28:23,17843303,apzuzu6_EXT2,-49,3,4
25.07.2020 12:28:23,17843303,apzuzu6_EXT3,-60,4,4
25.07.2020 12:28:23,17843303,apzuzu6_EXT,-72,3,4
25.07.2020 12:28:23,17843303,apzuzu6,-73,3,4
25.07.2020 12:28:23,17843303,UPC Wi-Free,-86,5,1
25.07.2020 12:28:23,17843303,UPCF2C6A3A,-87,4,11
25.07.2020 12:28:23,17843303,UPC Wi-Free,-88,5,11
25.07.2020 12:28:23,17843303,UPC Wi-Free,-89,5,11
25.07.2020 12:28:23,17843303,UPCC81FA2A,-89,4,1
25.07.2020 12:28:23,17843303,RCProductions-EXT,-90,4,13
25.07.2020 12:28:23,17843303,RCProductions-EXT pour Ariane,-90,4,13
25.07.2020 12:28:23,17843303,mhj-86336,-91,3,1
25.07.2020 12:28:23,17843303,RCProductions-EXT pour Yasmine,-91,4,13
25.07.2020 12:28:23,17843303,UPC17E648D,-92,4,11
25.07.2020 12:28:23,17843303,UPC Wi-Free,-93,5,1
25.07.2020 12:28:31,17843311,apzuzu6_EXT2,-39,3,4
25.07.2020 12:28:31,17843311,apzuzu6_EXT3,-65,4,4
25.07.2020 12:28:31,17843311,apzuzu6_EXT,-66,3,4
25.07.2020 12:28:31,17843311,apzuzu6,-75,3,4
25.07.2020 12:28:31,17843311,RCProductions-EXT,-88,4,13
25.07.2020 12:28:31,17843311,RCProductions-EXT pour Ariane,-88,4,13
25.07.2020 12:28:31,17843311,RCProductions-EXT pour Yasmine,-88,4,13
25.07.2020 12:28:31,17843311,UPC Wi-Free,-90,5,1
25.07.2020 12:28:31,17843311,UPC Wi-Free,-91,5,1
25.07.2020 12:28:31,17843311,UPCC81FA2A,-91,4,1
25.07.2020 12:28:31,17843311,UPC Wi-Free,-92,5,11
25.07.2020 12:28:31,17843311,UPCA8BF168,-92,4,6
25.07.2020 12:28:31,17843311,UPC17E648D,-93,4,11
25.07.2020 12:28:31,17843311,UPC578B7A3,-93,4,1
25.07.2020 12:28:31,17843311,UPC Wi-Free,-94,5,1
25.07.2020 12:28:39,17843319,apzuzu6_EXT2,-48,3,4
25.07.2020 12:28:39,17843319,apzuzu6_EXT3,-57,4,4
25.07.2020 12:28:39,17843319,apzuzu6,-71,3,4
25.07.2020 12:28:39,17843319,apzuzu6_EXT,-72,3,4
25.07.2020 12:28:39,17843319,UPC Wi-Free,-88,5,1
25.07.2020 12:28:39,17843319,UPC Wi-Free,-88,5,11
25.07.2020 12:28:39,17843319,UPCC81FA2A,-89,4,1
25.07.2020 12:28:39,17843319,UPC578B7A3,-90,4,1
25.07.2020 12:28:39,17843319,RCProductions-EXT pour Yasmine,-91,4,13
25.07.2020 12:28:39,17843319,RCProductions-EXT,-92,4,13
25.07.2020 12:28:39,17843319,UPC Wi-Free,-92,5,11
25.07.2020 12:28:39,17843319,UPC17E648D,-92,4,11
25.07.2020 12:28:39,17843319,RCProductions-EXT pour Ariane,-93,4,13
25.07.2020 12:28:47,17843327,apzuzu6_EXT2,-50,3,4
25.07.2020 12:28:47,17843327,apzuzu6_EXT3,-57,4,4
25.07.2020 12:28:47,17843327,apzuzu6,-71,3,4
25.07.2020 12:28:47,17843327,apzuzu6_EXT,-71,3,4
25.07.2020 12:28:47,17843327,UPC72E5C4E_EXT,-86,4,6
25.07.2020 12:28:47,17843327,UPC Wi-Free,-87,5,11
25.07.2020 12:28:47,17843327,UPC578B7A3,-87,4,1
25.07.2020 12:28:47,17843327,UPCF2C6A3A,-87,4,11
25.07.2020 12:28:47,17843327,RCProductions-EXT pour Ariane,-89,4,13
25.07.2020 12:28:47,17843327,UPC Wi-Free,-89,5,6
25.07.2020 12:28:47,17843327,UPCA8BF168,-90,4,6
25.07.2020 12:28:47,17843327,UPC17E648D,-92,4,11
25.07.2020 12:28:47,17843327,UPCC81FA2A,-92,4,1
25.07.2020 12:28:47,17843327,RCProductions-EXT,-93,4,13
25.07.2020 12:28:47,17843327,RCProductions-EXT pour Yasmine,-93,4,13
25.07.2020 12:28:55,17843335,apzuzu6_EXT2,-41,3,4
25.07.2020 12:28:55,17843335,apzuzu6_EXT3,-59,4,4
25.07.2020 12:28:55,17843335,apzuzu6_EXT,-70,3,4
25.07.2020 12:28:55,17843335,apzuzu6,-80,3,4
25.07.2020 12:28:55,17843335,UPC Wi-Free,-88,5,11
25.07.2020 12:28:55,17843335,UPC17E648D,-90,4,11
25.07.2020 12:28:55,17843335,UPC578B7A3,-90,4,1
25.07.2020 12:28:55,17843335,UPC Wi-Free,-91,5,11
25.07.2020 12:28:55,17843335,UPC Wi-Free,-91,5,1
25.07.2020 12:28:55,17843335,UPC Wi-Free,-91,5,1
25.07.2020 12:28:55,17843335,UPCA8BF168,-91,4,6
25.07.2020 12:28:55,17843335,UPC2203812,-92,4,1
25.07.2020 12:29:03,17843343,apzuzu6_EXT2,-50,3,4
25.07.2020 12:29:03,17843343,apzuzu6_EXT,-56,3,4
25.07.2020 12:29:03,17843343,apzuzu6_EXT3,-56,4,4
25.07.2020 12:29:03,17843343,apzuzu6,-77,3,4
25.07.2020 12:29:03,17843343,UPC578B7A3,-85,4,1
25.07.2020 12:29:03,17843343,UPCF2C6A3A,-86,4,11
25.07.2020 12:29:03,17843343,UPC Wi-Free,-88,5,1
25.07.2020 12:29:03,17843343,UPC Wi-Free,-88,5,11
25.07.2020 12:29:03,17843343,UPC72E5C4E_EXT,-88,4,6
25.07.2020 12:29:03,17843343,RCProductions-EXT pour Yasmine,-89,4,13
25.07.2020 12:29:03,17843343,UPC Wi-Free,-89,5,1
25.07.2020 12:29:03,17843343,UPC17E648D,-90,4,11
25.07.2020 12:29:03,17843343,UPCC81FA2A,-90,4,1
25.07.2020 12:29:03,17843343,RCProductions-EXT,-93,4,13
25.07.2020 12:29:03,17843343,RCProductions-EXT pour Ariane,-93,4,13
25.07.2020 12:29:03,17843343,UPC Wi-Free,-93,5,11
25.07.2020 12:29:11,17843351,apzuzu6_EXT2,-50,3,4
25.07.2020 12:29:11,17843351,apzuzu6_EXT3,-57,4,4
25.07.2020 12:29:11,17843351,apzuzu6_EXT,-68,3,4
25.07.2020 12:29:11,17843351,apzuzu6,-71,3,4
25.07.2020 12:29:11,17843351,UPCF2C6A3A,-87,4,11
25.07.2020 12:29:11,17843351,UPC Wi-Free,-88,5,1
25.07.2020 12:29:11,17843351,UPC2203812,-88,4,1
25.07.2020 12:29:11,17843351,UPCC81FA2A,-89,4,1
