mac,name,long,lat,error
90:ef:68:ca:ac:89,Adrian,6.5750527,46.5417605,158
7c:b7:33:85:d4:00,aed-65320,6.5763656,46.5413323,50
ec:f4:51:ff:fc:76,aldebaran0341,6.5762683,46.5413457,14
a0:64:8f:bb:81:60,aldebaran0341,6.5760991,46.5414379,50
1c:24:cd:4b:ee:a0,Alves WIFI,6.5760968,46.5417264,447
f6:c2:48:6b:c9:64,AndroidAP6385,6.574465,46.5422594,112
38:2c:4a:4e:d3:d8,apzuzu6,6.5750463,46.5421444,8
b0:7f:b9:3e:f1:f1,apzuzu6_EXT,6.575112,46.5422243,1
3c:37:86:c6:7d:da,apzuzu6_EXT2,6.5749114,46.5421823,7
ce:50:e3:2e:85:7e,apzuzu6_EXT3,6.5749067,46.5421885,22
d8:fb:5e:c0:90:6d,aqp-71511,6.5762493,46.5413497,112
ec:f4:51:ae:e2:e0,ATB-74564,6.5767512,46.5415813,282
48:8d:36:c9:90:74,aur-38771,6.5743687,46.5420562,200
5c:dc:96:b9:7c:1d,baj-34992,6.5741691,46.5416048,398
00:b1:e3:25:bf:88,Crassus-wifi-2.4G,6.5744894,46.5419325,251
7c:b7:33:3f:a2:ee,cuo-36796,6.5740927,46.541642,224
30:d3:2d:cb:ca:64,devolo-a64,6.5742064,46.54173,158
30:d3:2d:cb:d2:40,devolo-a64,6.5742313,46.541755,200
b0:ea:bc:b3:d4:50,dhg-87555,6.5749039,46.5417954,178
4a:5f:99:03:48:0b,DIRECT-0b-HP M477 LaserJet,6.5749705,46.5422652,282
8e:57:9b:07:4c:83,DIRECT-9n-BRAVIA,6.5762527,46.5416828,126
12:08:c1:df:e3:ea,DIRECT-AP[TV][LG]60LB580V-ZM,6.5763656,46.5413323,35
ae:e2:d3:ca:e5:ce,DIRECT-CE-HP OfficeJet 5200,6.5743809,46.5421847,63
9e:ad:97:c1:9f:b7,DIRECT-dt-BRAVIA,6.5743025,46.5418067,282
00:78:88:e0:6e:e1,DK_MDE,6.5742313,46.541755,141
00:78:88:e0:6e:e2,DK_Pub,6.5741489,46.5416962,126
1c:24:cd:6f:40:d0,dxh-12522,6.5742064,46.54173,282
e8:d1:1b:5e:e4:40,dym-55538,6.5752029,46.5420469,178
ec:f4:51:7f:a3:39,ech-02870,6.5744894,46.5419325,35
d8:b0:4c:c0:f7:10,ECU_R_216000002442,6.5751536,46.5422885,316
00:1b:63:2b:78:4b,EDU-VD,6.5750679,46.5423802,355
90:5c:44:f2:85:e6,Error 404,6.5767409,46.5414379,158
86:83:c2:87:2c:2b,erteco-iot,6.5743534,46.5419439,355
c4:06:83:3f:ac:1a,Fanny,6.5749636,46.5417747,40
1c:24:cd:44:49:c0,fjc-53416,6.5767151,46.5415735,316
8c:fe:74:31:0e:b8,FMEL,6.5762493,46.5413497,28
8c:fe:74:31:0d:58,FMEL,6.5762493,46.5413497,40
8c:fe:74:31:0d:98,FMEL,6.5761838,46.5413861,89
8c:fe:74:2d:6a:98,FMEL,6.5762683,46.5413457,100
8c:fe:74:2d:7e:18,FMEL,6.5761838,46.5413861,100
8c:fe:74:31:0a:f8,FMEL,6.5763656,46.5413323,126
8c:fe:74:2d:70:18,FMEL,6.5765897,46.541326,141
8c:fe:74:2d:6a:58,FMEL,6.5763442,46.5413311,141
8c:fe:74:2d:70:08,FMEL,6.576706,46.5413371,178
8c:fe:74:31:09:e8,FMEL,6.5761952,46.5413778,200
8c:fe:74:2d:6a:d8,FMEL,6.5765897,46.541326,224
78:29:ed:3e:42:30,fpl-76051,6.5758246,46.5415289,224
c8:0e:14:0d:09:1c,FRITZ!Box 7490,6.5767498,46.5415141,178
1c:24:cd:1a:fd:00,fth-89239,6.5765295,46.5413269,32
ec:f4:51:e5:b7:46,fth-89239,6.576706,46.5413371,56
e4:57:40:d4:7b:9b,GafferNetwork,6.5750462,46.5421185,126
1c:24:cd:1b:d8:b0,Gigi80,6.5751537,46.5424076,398
54:67:51:fe:13:d1,GOGOwifi,6.5749705,46.5422652,251
3c:37:86:85:5e:d9,HomeSweetHome,6.5763656,46.5413323,200
dc:53:7c:b8:19:81,Hoxha_WiFi,6.5767498,46.5415141,251
28:92:4a:c3:a3:38,HP-Print-38-Officejet Pro 8600,6.5743251,46.5418813,355
e8:d1:1b:98:3e:d0,hrj88926,6.5743809,46.5421847,100
1c:13:86:d3:63:4b,HUAWEI_B818_634B,6.5746371,46.5418748,282
c0:b5:cd:ac:90:53,HUAWEI_B818_9053,6.5763656,46.5413323,40
dc:d9:16:3e:3d:54,HUAWEI-3D54,6.5751883,46.5423409,79
d0:16:b4:84:8e:93,HUAWEI-8E93,6.575112,46.5422243,28
b0:e1:7e:ab:a2:67,HUAWEI-A267,6.576754,46.5415525,50
a0:b5:49:12:77:79,hyj-39315,6.5760968,46.5417264,282
54:67:51:06:12:34,Kadioglu,6.5765667,46.5415872,251
90:5c:44:22:36:c1,Konate,6.5766409,46.541318,89
b4:ee:b4:83:dd:13,kty-12802,6.5762493,46.5413497,32
fc:b4:e6:33:58:09,linksysmanuel,6.5747733,46.5418451,50
34:29:12:0e:b0:cd,LYA-L29%08%CloudClone,6.5760572,46.5417393,282
04:18:d6:82:c3:55,Marcolet 15,6.5743809,46.5421847,141
04:18:d6:82:c4:7f,Marcolet 15,6.5743528,46.5420161,158
b4:ec:02:79:a9:9b,MB Hotspot 74173 2.4 GHz,6.5742313,46.541755,355
ec:f4:51:ea:58:46,mhj-86336,6.5751536,46.5422885,141
1c:24:cd:33:6b:c0,mhj-86336,6.5751536,46.5422885,316
ec:f4:51:e8:c6:86,mni-94777,6.5767433,46.541795,158
f4:63:1f:71:67:6f,Moksha,6.5767593,46.5417717,178
1c:24:cd:38:59:10,MonWifiEtPasLeTien ,6.5751812,46.5423194,35
b0:ea:bc:ae:f8:f0,nli-86919,6.5759538,46.5414903,79
34:12:f9:42:2b:6d,One can never have...,6.5767409,46.5414379,126
b0:05:94:31:c5:c1,PS4-CE586EE4E6E5,6.5767288,46.5413883,100
78:d3:8d:fc:e9:a9,RCProductions-EXT,6.5750679,46.5423802,13
7a:d3:8d:fc:e9:a9,RCProductions-EXT pour Ariane,6.5750679,46.5423802,10
8a:d3:8d:fc:e9:a9,RCProductions-EXT pour Yasmine,6.5749569,46.5422483,20
60:e3:27:f0:10:81,RVZ-00300,6.5751046,46.5424101,447
d0:66:7b:a5:f6:b4,SEC_LinkShare_52e4fc,6.5767593,46.5417717,355
e8:be:81:b9:7f:da,Sinaud_2.4,6.5743912,46.5422149,89
a0:b5:49:0f:a7:29,sjm-42413,6.5742313,46.541755,316
1c:24:cd:29:1d:50,Solachris15,6.5742766,46.5418172,282
c0:f4:e6:af:0d:b9,Sunrise 4G WiFi Tower,6.5751536,46.5422885,178
