X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,speed
6.5747815,46.5420832,0,0,0,534.603,2020/07/27 11:49:33+00,,,,,,,,,,,,,,,,,48,,,,,1.72
6.5750736,46.5421493,0,0,1,492.145,2020/07/27 11:49:35+00,,,,,,,,,,,,,,,,,32,,,,,
6.5750736,46.5421493,0,0,2,492.533,2020/07/27 11:49:36+00,,,,,,,,,,,,,,,,,24,,,,,
6.5749041,46.5420945,0,0,3,496.478,2020/07/27 11:49:37+00,,,,,,,,,,,,,,,,,16,,,,,
6.5749041,46.5420945,0,0,4,494.232,2020/07/27 11:49:38+00,,,,,,,,,,,,,,,,,12,,,,,
6.5749041,46.5420945,0,0,5,490.67,2020/07/27 11:49:40+00,,,,,,,,,,,,,,,,,12,,,,,
6.5749041,46.5420945,0,0,6,491.29,2020/07/27 11:49:41+00,,,,,,,,,,,,,,,,,12,,,,,
6.5749041,46.5420945,0,0,7,490.077,2020/07/27 11:49:43+00,,,,,,,,,,,,,,,,,8,,,,,
6.5749041,46.5420945,0,0,8,489.084,2020/07/27 11:49:44+00,,,,,,,,,,,,,,,,,8,,,,,
6.5748305,46.5421458,0,0,9,488.321,2020/07/27 11:49:46+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748305,46.5421458,0,0,10,487.62,2020/07/27 11:49:47+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748305,46.5421458,0,0,11,487.042,2020/07/27 11:49:48+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748305,46.5421458,0,0,12,485.744,2020/07/27 11:49:50+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748305,46.5421458,0,0,13,485.215,2020/07/27 11:49:51+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748305,46.5421458,0,0,14,485.255,2020/07/27 11:49:52+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748305,46.5421458,0,0,15,484.435,2020/07/27 11:49:54+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748305,46.5421458,0,0,16,484.218,2020/07/27 11:49:55+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748305,46.5421458,0,0,17,483.962,2020/07/27 11:49:56+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748305,46.5421458,0,0,18,483.838,2020/07/27 11:49:57+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748305,46.5421458,0,0,19,483.981,2020/07/27 11:49:59+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748305,46.5421458,0,0,20,484.139,2020/07/27 11:50:01+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748305,46.5421458,0,0,21,484.198,2020/07/27 11:50:02+00,,,,,,,,,,,,,,,,,6,,,,,
6.5748439,46.5421737,0,0,22,484.197,2020/07/27 11:50:04+00,,,,,,,,,,,,,,,,,4,,,,,0.132
6.5748496,46.5421752,0,0,23,484.194,2020/07/27 11:50:05+00,,,,,,,,,,,,,,,,,4,,,,,0.125
6.5748549,46.5421767,0,0,24,484.189,2020/07/27 11:50:06+00,,,,,,,,,,,,,,,,,4,,,,,0.201
6.5748599,46.5421785,0,0,25,484.188,2020/07/27 11:50:07+00,,,,,,,,,,,,,,,,,4,,,,,0.144
6.574869,46.5421816,0,0,26,484.172,2020/07/27 11:50:09+00,,,,,,,,,,,,,,,,,4,,,,,0.268
6.5748907,46.5421965,0,0,27,484.165,2020/07/27 11:50:11+00,,,,,,,,,,,,,,,,,4,,,,,0.225
6.5749241,46.5422175,0,0,28,484.164,2020/07/27 11:50:13+00,,,,,,,,,,,,,,,,,4,,,,,0.35
6.5749487,46.542232,0,0,29,484.164,2020/07/27 11:50:15+00,,,,,,,,,,,,,,,,,4,,,,,0.493
6.5749812,46.5422426,0,0,30,484.168,2020/07/27 11:50:17+00,,,,,,,,,,,,,,,,,3,,,,,0.634
6.5749978,46.5422566,0,0,31,484.174,2020/07/27 11:50:19+00,,,,,,,,,,,,,,,,,3,,,,,0.514
6.5750056,46.5422631,0,0,32,484.18,2020/07/27 11:50:21+00,,,,,,,,,,,,,,,,,3,,,,,0.26
6.5750068,46.5422644,0,0,33,484.182,2020/07/27 11:50:23+00,,,,,,,,,,,,,,,,,3,,,,,0.006
6.5750068,46.5422647,0,0,34,484.183,2020/07/27 11:50:24+00,,,,,,,,,,,,,,,,,3,,,,,0.008
6.5750074,46.5422651,0,0,35,484.186,2020/07/27 11:50:26+00,,,,,,,,,,,,,,,,,3,,,,,0.053
6.5750047,46.5422719,0,0,36,484.204,2020/07/27 11:50:27+00,,,,,,,,,,,,,,,,,3,,,,,0.342
6.5750096,46.5422847,0,0,37,484.235,2020/07/27 11:50:29+00,,,,,,,,,,,,,,,,,3,,,,,0.622
6.5750126,46.5422964,0,0,38,484.249,2020/07/27 11:50:30+00,,,,,,,,,,,,,,,,,3,,,,,0.876
6.5750121,46.5423363,0,0,39,484.273,2020/07/27 11:50:32+00,,,,,,,,,,,,,,,,,4,,,,,0.949
6.5750192,46.5423615,0,0,40,484.293,2020/07/27 11:50:34+00,,,,,,,,,,,,,,,,,4,,,,,1.042
