X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,speed
6.5749532,46.5421696,0,0,0,469.284,2020/07/27 20:03:27+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749481,46.542168,0,0,1,470.263,2020/07/27 20:03:28+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749432,46.5421667,0,0,2,470.876,2020/07/27 20:03:29+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749391,46.5421651,0,0,3,471.714,2020/07/27 20:03:30+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749339,46.5421646,0,0,4,472.729,2020/07/27 20:03:31+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749303,46.5421691,0,0,5,474.259,2020/07/27 20:03:33+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749319,46.5421729,0,0,6,475.056,2020/07/27 20:03:34+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749337,46.5421804,0,0,7,476.765,2020/07/27 20:03:36+00,,,,,,,,,,,,,,,,,4,,,,,
6.574935,46.5421826,0,0,8,476.974,2020/07/27 20:03:37+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749267,46.5421837,0,0,9,477.749,2020/07/27 20:03:38+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749192,46.5421869,0,0,10,478.193,2020/07/27 20:03:40+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749149,46.5421879,0,0,11,478.808,2020/07/27 20:03:41+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749085,46.5421868,0,0,12,479.567,2020/07/27 20:03:43+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749067,46.5421885,0,0,13,480.043,2020/07/27 20:03:45+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749067,46.5421885,0,0,14,480.335,2020/07/27 20:03:46+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749067,46.5421885,0,0,15,480.763,2020/07/27 20:03:48+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749067,46.5421885,0,0,16,480.957,2020/07/27 20:03:50+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749067,46.5421885,0,0,17,480.958,2020/07/27 20:03:51+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749067,46.5421885,0,0,18,480.962,2020/07/27 20:03:53+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749067,46.5421885,0,0,19,480.964,2020/07/27 20:03:54+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749067,46.5421885,0,0,20,480.967,2020/07/27 20:03:55+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749067,46.5421885,0,0,21,480.973,2020/07/27 20:03:57+00,,,,,,,,,,,,,,,,,6,,,,,
6.5749067,46.5421885,0,0,22,480.977,2020/07/27 20:03:58+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749067,46.5421885,0,0,23,480.986,2020/07/27 20:04:00+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749067,46.5421885,0,0,24,480.996,2020/07/27 20:04:02+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749067,46.5421885,0,0,25,481.006,2020/07/27 20:04:04+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749067,46.5421885,0,0,26,481.011,2020/07/27 20:04:05+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749067,46.5421885,0,0,27,481.023,2020/07/27 20:04:07+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749067,46.5421885,0,0,28,481.034,2020/07/27 20:04:09+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749067,46.5421885,0,0,29,481.04,2020/07/27 20:04:10+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749067,46.5421885,0,0,30,481.046,2020/07/27 20:04:11+00,,,,,,,,,,,,,,,,,4,,,,,
6.5749067,46.5421885,0,0,31,481.058,2020/07/27 20:04:13+00,,,,,,,,,,,,,,,,,4,,,,,
