Angle [rad],Sinus,Cosinus
0,0,1
0.06283185307,0.06279051953,0.9980267284
0.1256637061,0.1253332336,0.9921147013
0.1884955592,0.1873813146,0.9822872507
0.2513274123,0.2486898872,0.9685831611
0.3141592654,0.3090169944,0.9510565163
0.3769911184,0.3681245527,0.9297764859
0.4398229715,0.4257792916,0.9048270525
0.5026548246,0.4817536741,0.87630668
0.5654866776,0.535826795,0.8443279255
0.6283185307,0.5877852523,0.8090169944
0.6911503838,0.6374239897,0.7705132428
0.7539822369,0.6845471059,0.7289686274
0.8168140899,0.7289686274,0.6845471059
0.879645943,0.7705132428,0.6374239897
0.9424777961,0.8090169944,0.5877852523
1.005309649,0.8443279255,0.535826795
1.068141502,0.87630668,0.4817536741
1.130973355,0.9048270525,0.4257792916
1.193805208,0.9297764859,0.3681245527
1.256637061,0.9510565163,0.3090169944
1.319468915,0.9685831611,0.2486898872
1.382300768,0.9822872507,0.1873813146
1.445132621,0.9921147013,0.1253332336
1.507964474,0.9980267284,0.06279051953
1.570796327,1,0
1.63362818,0.9980267284,-0.06279051953
1.696460033,0.9921147013,-0.1253332336
1.759291886,0.9822872507,-0.1873813146
1.822123739,0.9685831611,-0.2486898872
1.884955592,0.9510565163,-0.3090169944
1.947787445,0.9297764859,-0.3681245527
2.010619298,0.9048270525,-0.4257792916
2.073451151,0.87630668,-0.4817536741
2.136283004,0.8443279255,-0.535826795
2.199114858,0.8090169944,-0.5877852523
2.261946711,0.7705132428,-0.6374239897
2.324778564,0.7289686274,-0.6845471059
2.387610417,0.6845471059,-0.7289686274
2.45044227,0.6374239897,-0.7705132428
2.513274123,0.5877852523,-0.8090169944
2.576105976,0.535826795,-0.8443279255
2.638937829,0.4817536741,-0.87630668
2.701769682,0.4257792916,-0.9048270525
2.764601535,0.3681245527,-0.9297764859
2.827433388,0.3090169944,-0.9510565163
2.890265241,0.2486898872,-0.9685831611
2.953097094,0.1873813146,-0.9822872507
3.015928947,0.1253332336,-0.9921147013
3.078760801,0.06279051953,-0.9980267284
3.141592654,0,-1
3.204424507,-0.06279051953,-0.9980267284
3.26725636,-0.1253332336,-0.9921147013
3.330088213,-0.1873813146,-0.9822872507
3.392920066,-0.2486898872,-0.9685831611
3.455751919,-0.3090169944,-0.9510565163
3.518583772,-0.3681245527,-0.9297764859
3.581415625,-0.4257792916,-0.9048270525
3.644247478,-0.4817536741,-0.87630668
3.707079331,-0.535826795,-0.8443279255
3.769911184,-0.5877852523,-0.8090169944
3.832743037,-0.6374239897,-0.7705132428
3.89557489,-0.6845471059,-0.7289686274
3.958406744,-0.7289686274,-0.6845471059
4.021238597,-0.7705132428,-0.6374239897
4.08407045,-0.8090169944,-0.5877852523
4.146902303,-0.8443279255,-0.535826795
4.209734156,-0.87630668,-0.4817536741
4.272566009,-0.9048270525,-0.4257792916
4.335397862,-0.9297764859,-0.3681245527
4.398229715,-0.9510565163,-0.3090169944
4.461061568,-0.9685831611,-0.2486898872
4.523893421,-0.9822872507,-0.1873813146
4.586725274,-0.9921147013,-0.1253332336
4.649557127,-0.9980267284,-0.06279051953
4.71238898,-1,0
4.775220833,-0.9980267284,0.06279051953
4.838052687,-0.9921147013,0.1253332336
4.90088454,-0.9822872507,0.1873813146
4.963716393,-0.9685831611,0.2486898872
5.026548246,-0.9510565163,0.3090169944
5.089380099,-0.9297764859,0.3681245527
5.152211952,-0.9048270525,0.4257792916
5.215043805,-0.87630668,0.4817536741
5.277875658,-0.8443279255,0.535826795
5.340707511,-0.8090169944,0.5877852523
5.403539364,-0.7705132428,0.6374239897
5.466371217,-0.7289686274,0.6845471059
5.52920307,-0.6845471059,0.7289686274
5.592034923,-0.6374239897,0.7705132428
5.654866776,-0.5877852523,0.8090169944
5.71769863,-0.535826795,0.8443279255
5.780530483,-0.4817536741,0.87630668
5.843362336,-0.4257792916,0.9048270525
5.906194189,-0.3681245527,0.9297764859
5.969026042,-0.3090169944,0.9510565163
6.031857895,-0.2486898872,0.9685831611
6.094689748,-0.1873813146,0.9822872507
6.157521601,-0.1253332336,0.9921147013
6.220353454,-0.06279051953,0.9980267284
6.283185307,0,1
